Departamento_id,Cultivo,Rinde(qq/Ha)
82014,maíz,83.0592
82014,soja 1ra,34.1528
82014,soja 2da,25.522800000000004
82014,trigo total,32.8808
82021,girasol,20.866
82021,maíz,68.86
82021,soja 1ra,31.553600000000003
82021,soja 2da,26.409200000000002
82021,trigo total,26.702799999999996
82028,girasol,21.625999999999998
82028,maíz,78.5748
82028,soja 1ra,32.708
82028,soja 2da,24.326
82028,trigo total,32.6584
82042,girasol,26.709600000000002
82042,maíz,91.4092
82042,soja 1ra,35.141999999999996
82042,soja 2da,24.3888
82042,trigo total,35.2932
82049,girasol,14.7584
82049,maíz,33.86333333333334
82049,soja 1ra,16.1968
82049,soja 2da,14.972857142857142
82049,trigo total,18.12
82056,girasol,20.529230769230768
82056,maíz,81.292
82056,soja 1ra,34.5756
82056,soja 2da,26.7832
82056,trigo total,31.6508
82063,girasol,20.3044
82063,maíz,60.3076
82063,soja 1ra,27.226799999999997
82063,soja 2da,23.108
82063,trigo total,25.1948
82070,girasol,20.8304
82070,maíz,66.6156
82070,soja 1ra,30.474800000000002
82070,soja 2da,25.7572
82070,trigo total,26.903200000000002
82077,girasol,16.6404
82077,maíz,47.531666666666666
82077,soja 1ra,22.581666666666667
82077,soja 2da,19.021052631578947
82077,trigo total,18.496086956521737
82084,girasol,19.8
82084,maíz,76.7556
82084,soja 1ra,32.9388
82084,soja 2da,23.586399999999998
82084,trigo total,32.0068
82091,girasol,19.5028
82091,maíz,55.392799999999994
82091,soja 1ra,24.546
82091,soja 2da,21.63
82091,trigo total,22.0416
82105,girasol,21.6884
82105,maíz,73.6112
82105,soja 1ra,32.147600000000004
82105,soja 2da,24.8032
82105,trigo total,29.211599999999997
82112,girasol,19.8572
82112,maíz,57.38
82112,soja 1ra,25.501199999999997
82112,soja 2da,21.4592
82112,trigo total,24.9312
82119,girasol,20.997999999999998
82119,maíz,79.818
82119,soja 1ra,32.9392
82119,soja 2da,24.4692
82119,trigo total,32.9796
82126,girasol,21.592083333333335
82126,maíz,77.86399999999999
82126,soja 1ra,34.5344
82126,soja 2da,26.6048
82126,trigo total,28.3508
82133,girasol,16.5704
82133,maíz,41.62916666666667
82133,soja 1ra,19.148400000000002
82133,soja 2da,17.096666666666668
82133,trigo total,20.48
86007,girasol,13.276190476190477
86007,maíz,49.67181818181818
86007,soja 1ra,21.6408
86007,soja 2da,20.049999999999997
86007,trigo total,15.294117647058824
86014,girasol,14.64782608695652
86014,maíz,51.61434782608696
86014,soja 1ra,24.54875
86014,soja 2da,24.6255
86014,trigo total,12.842105263157896
86042,girasol,15.4252
86042,maíz,56.10565217391304
86042,soja 1ra,25.0456
86042,soja 2da,24.653333333333336
86042,trigo total,16.605263157894736
86077,girasol,15.5344
86077,maíz,55.66652173913043
86077,soja 1ra,25.0448
86077,soja 2da,24.94190476190476
86077,trigo total,16.31578947368421
86091,girasol,19.25
86091,maíz,59.25380952380952
86091,soja 1ra,25.90833333333333
86091,soja 2da,27.05
86091,trigo total,14.789473684210526
86098,girasol,12.790476190476191
86098,maíz,51.67521739130434
86098,soja 1ra,23.4044
86098,soja 2da,23.304761904761904
86098,trigo total,13.263684210526316
86119,girasol,14.050799999999999
86119,maíz,50.65347826086956
86119,soja 1ra,23.6596
86119,soja 2da,23.008947368421055
86119,trigo total,13.632105263157895
86133,girasol,19.0
86133,maíz,58.96333333333333
86133,soja 1ra,25.433333333333334
86133,soja 2da,26.777499999999996
86133,trigo total,14.733684210526315
86154,girasol,17.26086956521739
86154,maíz,55.57521739130435
86154,soja 1ra,24.3536
86154,soja 2da,22.955
86154,trigo total,17.577894736842108
90007,girasol,26.0
90007,maíz,56.308571428571426
90007,soja 1ra,24.461428571428574
90007,soja 2da,24.5075
90007,trigo total,10.652
90014,maíz,57.03809523809524
90014,soja 1ra,25.247142857142858
90014,soja 2da,25.4565
90014,trigo total,10.994
90035,maíz,53.516666666666666
90035,soja 1ra,23.67238095238095
90035,soja 2da,23.6935
90035,trigo total,10.3095
90056,maíz,54.70571428571428
90056,soja 1ra,24.230476190476192
90056,soja 2da,24.3265
90056,trigo total,10.5
